problem,options,answer,syn/ant,word
"Choose the antonym for 'abandon'.","[""scatter"",""retain"",""scalding"",""rectify""]","retain","ant","abandon"
"Choose the antonym for 'abundance'.","[""controversy"",""dilate"",""truce"",""lack""]","lack","ant","abundance"
"Choose the antonym for 'affable'.","[""filth"",""domestic"",""dismal"",""unfriendly""]","unfriendly","ant","affable"
"Choose the antonym for 'antiquity' (a historical period).","[""sole"",""subterfuge"",""modernity"",""serpentine""]","modernity","ant","antiquity"
"Choose the antonym for 'arduous'.","[""surmise"",""facile"",""impervious"",""vein""]","facile","ant","arduous"
"Choose the antonym for 'assiduous'.","[""indolent"",""exhausted"",""strenuous"",""obedient""]","indolent","ant","assiduous"
"Choose the antonym for 'avowed'.","[""denied"",""disguise"",""factual"",""scripture""]","denied","ant","avowed"
"Choose the antonym for 'barren'.","[""petite"",""threadbare"",""fertile"",""rowdy""]","fertile","ant","barren"
"Choose the antonym for 'belligerent'.","[""chortle"",""helix"",""summit"",""peaceful""]","peaceful","ant","belligerent"
"Choose the antonym for 'besieged'.","[""liberated"",""facilitate"",""dingy"",""painstaking""]","liberated","ant","besieged"
"Choose the antonym for 'bewildered'.","[""torment"",""coy"",""exhausted"",""certain""]","certain","ant","bewildered"
"Choose the antonym for 'comrade'.","[""innocuous"",""vain"",""hinder"",""enemy""]","enemy","ant","comrade"
"Choose the antonym for 'contemporary' (describing modern art).","[""favourable"",""contemplate"",""invigorated"",""ancient""]","ancient","ant","contemporary"
"Choose the antonym for 'conventional'.","[""wretched"",""conceited"",""unconventional"",""tactful""]","unconventional","ant","conventional"
"Choose the antonym for 'covet'.","[""vein"",""reject"",""volatile"",""imposing""]","reject","ant","covet"
"Choose the antonym for 'coy'.","[""polarity"",""bold"",""crooked"",""dishevelled""]","bold","ant","coy"
"Choose the antonym for 'deceive'.","[""facilitate"",""obliging"",""fracas"",""tell the truth""]","tell the truth","ant","deceive"
"Choose the antonym for 'demolished'.","[""majestic"",""dilemma"",""built"",""sombre""]","built","ant","demolished"
"Choose the antonym for 'destitute'.","[""oblige"",""disastrous"",""staunch"",""wealthy""]","wealthy","ant","destitute"
"Choose the antonym for 'dilapidated'.","[""filth"",""renovated"",""stride"",""solace""]","renovated","ant","dilapidated"
"Choose the antonym for 'diluted'.","[""stride"",""concentrated"",""dazzling"",""tardy""]","concentrated","ant","diluted"
"Choose the antonym for 'disarray'.","[""vanish"",""order"",""scanty"",""belligerent""]","order","ant","disarray"
"Choose the antonym for 'disastrous'.","[""nuisance"",""anguish"",""melancholy"",""successful""]","successful","ant","disastrous"
"Choose the antonym for 'dishevelled'.","[""novice"",""ambiguous"",""din"",""neat""]","neat","ant","dishevelled"
"Choose the antonym for 'dismal'.","[""weary"",""valour"",""cheerful"",""fatal""]","cheerful","ant","dismal"
"Choose the antonym for 'disperse'.","[""loathe"",""fluctuate"",""sated"",""congregate""]","congregate","ant","disperse"
"Choose the antonym for 'drought'.","[""liable"",""prevalent"",""device"",""rainfall""]","rainfall","ant","drought"
"Choose the antonym for 'embarrass'.","[""reassure"",""rivet"",""frugal"",""exclaim""]","reassure","ant","embarrass"
"Choose the antonym for 'endeavour'.","[""dwelling"",""equivocate"",""embarrass"",""idleness""]","idleness","ant","endeavour"
"Choose the antonym for 'evident'.","[""demolish"",""hindrance"",""devoted"",""hidden""]","hidden","ant","evident"
